lat_lon_tuple|agg_road_bumpiness|total_road_readings|seg_dist
((41.895409, -87.647705), (41.895466, -87.647713))|0.176087067354|1|6.36568815429
((41.921841, -87.648659), (41.921841, -87.648659))|0.13971798829|1|0.0
((41.88681, -87.67427099999999), (41.88681, -87.674194))|0.192397057213|1|6.39097746006
((41.901005, -87.632919), (41.901081, -87.632919))|0.121363552366|1|8.44130488407
((41.896618, -87.632462), (41.896618, -87.632408))|0.206802453691|1|4.48129863544
((41.93372, -87.713371), (41.93375, -87.713326))|0.589031164154|2|5.00326772358
((41.891773, -87.62670899999999), (41.891861, -87.62670899999999))|0.359415723942|1|9.77412656381
((41.937656, -87.697769), (41.937717, -87.697777))|0.191754271649|1|6.80770937423
((41.886542999999996, -87.66489399999999), (41.886542999999996, -87.66481800000001))|0.185278159152|1|6.30800401527
((41.896626, -87.629776), (41.896706, -87.629776))|0.186175849058|2|8.88557721709
((41.961288, -87.69336700000001), (41.961288, -87.693283))|0.173214225792|1|6.9638722785
((41.892078000000005, -87.629646), (41.892143, -87.629646))|0.172020226852|1|7.21952567531
((41.942856, -87.697914), (41.942883, -87.697914))|0.304613092734|1|2.99890679583
((41.899403, -87.62829599999999), (41.899445, -87.62829599999999))|0.244949294092|1|4.66493031145
((41.937901000000004, -87.714897), (41.937943, -87.714897))|0.500926797701|1|4.66496204686
((41.892936999999996, -87.63409399999999), (41.893009, -87.634102))|0.156296734306|1|8.02452774158
((41.886798999999996, -87.643875), (41.886798999999996, -87.643799))|0.171305882345|1|6.307978835
((41.896561, -87.63678), (41.896561, -87.636688))|0.170927650686|1|7.63481186988
((41.895920000000004, -87.629761), (41.895965999999994, -87.629768))|0.220245502097|1|5.14212513853
((41.938229, -87.714912), (41.938251, -87.714912))|0.651997530246|1|2.44355168605
((41.913441, -87.64836899999999), (41.913475, -87.64836899999999))|0.216819235169|1|3.77638152197
((41.973095, -87.679321), (41.973129, -87.679321))|0.301152916151|1|3.7764213359
((41.900558000000004, -87.63166), (41.900558000000004, -87.631561))|0.125619495759|1|8.21520919959
((41.902846999999994, -87.62850999999999), (41.902889, -87.628525))|0.243645728163|1|4.82812997883
((41.904102, -87.634491), (41.904163, -87.634499))|0.169340933397|1|6.80770328327
((41.889488, -87.62957), (41.889507, -87.62957))|0.363598782304|1|2.11032191675
((41.895695, -87.626823), (41.895702, -87.62683100000001))|0.215620149403|1|1.02237862919
((41.891040999999994, -87.63404799999999), (41.891129, -87.63404799999999))|0.111806718934|1|9.77412530027
((41.93792, -87.712456), (41.937962, -87.712456))|0.259357838666|1|4.6649620641
((41.90332, -87.63445300000001), (41.903378000000004, -87.63445300000001))|0.177845880362|1|6.4420510897
((41.965069, -87.681213), (41.965073, -87.681122))|0.134002007722|1|7.55682033111
((41.935715, -87.649109), (41.935802, -87.649117))|0.181494301492|1|9.68588350936
((41.902721, -87.648041), (41.902809000000005, -87.648041))|0.148756510824|1|9.77414547242
((41.944145, -87.697952), (41.944199, -87.697952))|0.169175927162|1|5.99781497176
((41.893597, -87.64768199999999), (41.893681, -87.64768199999999))|0.136243633026|1|9.32985108741
((41.894764, -87.626808), (41.894791, -87.626808))|0.391608835755|1|2.99888130852
((41.921658, -87.658325), (41.921677, -87.658333))|0.661799064794|1|2.21222123127
((41.901817, -87.628349), (41.901882, -87.628357))|0.138823642073|1|7.24999423941
((41.895142, -87.629745), (41.895176, -87.629745))|0.302308441153|1|3.77636931157
((41.896687, -87.626938), (41.896687, -87.626923))|0.593706160352|1|1.24480383575
